,gender,tenure,phone_services,internet_services,contract_duration,payment_method,number_customer_service_calls,phone_min,phone_monthly_charges,internet_monthly_charges,avg_monthly_bill,churn,internet_charge_per_min,gender_encoded,contract_duration_encoded,payment_method_encoded
14,Female,1,1,1,short-term,email,0,118.6247055567287,20.169737890033964,13.662324162263124,19.39,0,0.005040291040549982,0,0,2
15,Male,1,1,1,short-term,email,3,125.25040999945529,21.29527028496719,25.771953704188288,25.082,0,0.004233931611896584,1,0,2
16,Female,1,1,1,short-term,automatic transfer,2,105.6062293141152,17.954531120713398,27.78720299849384,22.4,0,0.006513715108843444,0,0,1
17,Male,1,1,1,short-term,automatic transfer,0,120.18074502062004,20.433314808587067,26.671364691190902,22.503,0,0.00906666027044436,1,0,1
18,Female,1,0,1,short-term,mail,1,0.0,0.0,9.685738818848597,14.192,0,0.008646415409041534,0,0,0
19,Male,1,1,1,short-term,mail,0,111.82155897505874,19.012153215735943,36.43457979216296,27.085,0,0.005937032190735545,1,0,0
20,Female,1,0,1,short-term,mail,0,0.0,0.0,14.210424345189002,18.298,0,0.008228775603964775,0,0,0
21,Female,1,0,1,short-term,mail,0,0.0,0.0,5.744047683448404,12.394,0,0.005275464928301143,0,0,0
22,Male,1,1,1,short-term,mail,2,115.62558371484666,19.658734430721022,26.79178530044412,24.537,0,0.007065475371108806,1,0,0
23,Male,1,1,1,short-term,email,4,116.48802034248556,19.805854005579786,35.31000802348341,26.942,1,0.025926312242048326,1,0,2
24,Male,1,1,1,short-term,mail,2,116.61372348892816,19.826914098511487,23.73348366825937,21.855,1,0.01478541406245796,1,0,0
25,Female,1,0,1,short-term,email,6,0.0,0.0,25.43978973181444,23.035,1,0.016002768232149626,0,0,2
26,Female,1,1,1,short-term,mail,1,120.8719368124808,20.55148079128792,6.66231524150891,13.488,1,0.010917861902504598,0,0,0
27,Male,1,1,1,short-term,mail,0,120.1811303473051,20.433511887025443,30.942754015928717,25.996,1,0.009095742271634493,1,0,0
28,Male,1,1,1,short-term,email,1,118.02463377020844,20.067620663955903,21.58929265283789,20.587,1,0.0061977786583173235,1,0,2
29,Male,1,0,1,short-term,automatic transfer,1,0.0,0.0,20.45727208385072,20.348,1,0.010680106987892572,1,0,1
30,Male,1,1,1,short-term,mail,1,121.43240744405772,20.646199814756287,29.92518185536985,25.271,1,0.0069717877407544215,1,0,0
31,Male,1,1,1,short-term,email,2,119.9599062518578,20.39521442731987,27.772982687345305,23.527,1,0.007510142422483689,1,0,2
32,Male,1,0,1,short-term,email,3,0.0,0.0,27.60585315128172,25.517,1,0.013080712886422362,1,0,2
33,Male,1,0,1,short-term,automatic transfer,5,0.0,0.0,3.758126011775719,12.237,1,0.006359517887751852,1,0,1
34,Male,1,0,1,short-term,mail,3,0.0,0.0,18.582920396729364,18.97,1,0.008110155163770633,1,0,0
35,Female,1,1,1,short-term,automatic transfer,1,118.9992704351155,20.232842633201493,37.33853853156485,29.119,1,0.012158197656328078,0,0,1
36,Male,1,0,1,short-term,email,1,0.0,0.0,19.26834064683248,19.309,1,0.006489551597502529,1,0,2
37,Male,1,1,1,short-term,automatic transfer,3,111.6947233065621,18.99033915511273,35.71517476222382,27.18,1,0.012116262816731171,1,0,1
38,Male,1,0,1,short-term,mail,1,0.0,0.0,14.303476421863357,17.391,1,0.007215578272137206,1,0,0
39,Male,1,0,1,short-term,mail,1,0.0,0.0,11.13361263447742,17.248,1,0.010033451295971737,1,0,0
40,Male,1,0,1,short-term,automatic transfer,4,0.0,0.0,25.195515568824245,24.026,1,0.03070546085169219,1,0,1
41,Male,1,0,1,short-term,mail,2,0.0,0.0,32.78896272566848,27.076,1,0.0137944357110255,1,0,0
42,Female,1,0,1,short-term,mail,1,0.0,0.0,9.538605355570944,15.031,1,0.0070675770255208305,0,0,0
43,Female,1,1,1,short-term,email,1,108.5386812143215,18.453849728076914,35.73340933929948,26.706,1,0.01715963829306016,0,0,2
44,Male,1,1,1,short-term,email,0,113.10494800256244,19.23062474930562,39.688808937156615,29.648,1,0.013886691629372332,1,0,2
45,Male,1,0,1,short-term,email,1,0.0,0.0,16.820039025076156,18.14,1,0.018485428211445085,1,0,2
46,Female,1,1,1,short-term,automatic transfer,2,123.82749817970074,21.053854139975083,11.39798649802688,16.783,1,0.03752989197438902,0,0,1
47,Female,1,1,1,short-term,automatic transfer,2,116.69499384212358,19.84037654163357,16.954508731773757,18.385,1,0.007238097192916009,0,0,1
48,Female,1,0,1,short-term,mail,2,0.0,0.0,5.511744468828894,12.763,1,0.019400748450890043,0,0,0
49,Male,1,1,1,short-term,email,1,121.180750514431,20.60369203199316,21.70800612729903,21.653,1,0.025472607074475104,1,0,2
50,Male,1,1,1,short-term,email,2,125.05987761000588,21.262824534320966,40.57308424519866,30.79,1,0.01035171392606853,1,0,2
51,Male,1,1,1,short-term,mail,1,124.3238102911609,21.137854802411656,13.477216096892793,17.843,1,0.00526105545149484,1,0,0
52,Male,1,1,1,short-term,email,1,126.0569344024976,21.432983602605,36.876085643877154,28.75,1,0.010629026766243182,1,0,2
53,Female,1,1,1,short-term,email,0,119.61651055989962,20.33716057548744,16.867432393285867,18.998,1,0.0074562080898229145,0,0,2
54,Female,1,0,1,short-term,email,3,0.0,0.0,21.597387175587933,19.986,1,0.014382148556367045,0,0,2
55,Female,1,1,1,short-term,email,5,125.14946852530043,21.277674642315866,24.110438342973595,21.701,1,0.008334357878669454,0,0,2
56,Female,1,1,1,short-term,mail,2,118.03800561131632,20.06919690697146,27.86383364246604,23.202,1,0.0474573991447128,0,0,0
57,Male,1,0,1,short-term,automatic transfer,1,0.0,0.0,14.38233894148894,16.772,1,0.01371646870556225,1,0,1
58,Female,1,1,1,short-term,mail,2,121.78034715195628,20.70569108927125,49.07329570550829,34.973,0,0.007262351501963255,0,0,0
59,Female,1,1,1,short-term,mail,2,113.83391544554912,19.3545592594817,53.66652711473204,37.416,0,0.008135057056776593,0,0,0
60,Female,1,1,1,short-term,email,3,124.03547159931624,21.08824968065718,54.21487829945405,37.199,0,0.0072921141009837645,0,0,2
61,Female,1,1,1,short-term,email,2,125.57360752983304,21.35142433037073,52.24217409204626,36.339,0,0.008622529093217302,0,0,2
62,Female,1,1,1,short-term,email,1,116.21409574780913,19.760577000063787,63.79741613931908,41.603,0,0.008809433346097927,0,0,2
63,Female,1,1,1,short-term,mail,3,125.50075188303452,21.3373494016498,50.1867229199769,35.552,0,0.006470002087760222,0,0,0
64,Male,1,1,1,short-term,mail,3,119.86113077806723,20.37975726064249,60.80617684107342,39.249,0,0.007582141499149284,1,0,0
65,Female,1,1,1,short-term,email,2,114.7643471995476,19.512545742774616,67.052797469641,42.823,0,0.007412026781932749,0,0,2
66,Female,1,1,1,short-term,email,2,120.4223336767882,20.474166282578377,49.06817994182,35.007,0,0.00867880373609171,0,0,2
67,Female,1,1,1,short-term,email,2,116.85936420615393,19.86838295387415,53.77780896376763,37.263,0,0.007505020941168106,0,0,2
68,Female,1,1,1,short-term,email,1,121.54472861009248,20.665311800777165,72.4977198306882,48.845,1,0.0101912455352639,0,0,2
69,Male,1,1,1,short-term,email,2,123.65767656080706,21.02412110203361,46.75693337759933,34.357,1,0.013379800305256524,1,0,2
70,Female,1,1,1,short-term,email,2,114.9022518062302,19.53608529058768,77.09821895283108,48.545,1,0.009051840481617696,0,0,2
71,Male,1,1,1,short-term,email,0,122.87607114417555,20.892131011139007,56.81010323875908,38.46,1,0.007329616154790332,1,0,2
72,Male,1,1,1,short-term,automatic transfer,0,123.12480365342832,20.93390907354896,66.82129259647431,43.9,1,0.008139726535655678,1,0,1
73,Male,1,1,1,short-term,email,1,124.7997802126504,21.218836940120404,65.61858377546783,43.778,1,0.0086073227382056,1,0,2
74,Male,1,1,1,short-term,email,0,111.77033600254876,19.003592199801467,50.06108734990174,34.867,1,0.011190520000720908,1,0,2
75,Male,1,1,1,short-term,email,1,126.42123669453498,21.49467636515182,51.3549994807937,39.723,1,0.010677630788994875,1,0,2
76,Female,1,1,1,short-term,email,3,108.04288602402964,18.36961843467364,51.40550188717776,35.261,1,0.011644337191048041,0,0,2
77,Male,1,1,1,short-term,email,2,125.93417501031271,21.411815596375277,54.93948808041223,36.919,1,0.009167754681365665,1,0,2
78,Male,1,1,1,short-term,mail,2,109.75580794363285,18.66133830523445,47.97886714083222,34.691,1,0.00791480009530285,1,0,0
79,Female,1,1,1,short-term,email,1,111.10868955364002,18.890676717150875,56.45548792761975,38.444,1,0.010464799114645297,0,0,2
80,Male,1,1,1,short-term,email,0,118.306934247557,20.11423727640697,48.98147243830349,35.089,1,0.013312274526247073,1,0,2
81,Female,1,1,1,short-term,email,2,126.458995485668,21.5003843890217,48.04658490445159,35.246,1,0.008406956421038829,0,0,2
82,Female,1,1,1,short-term,email,2,117.83461398165456,20.03447352139614,59.2988388317619,39.375,1,0.01150834291011519,0,0,2
83,Male,1,1,1,short-term,email,5,114.00452349287126,19.38310202552543,51.78195763595824,38.048,1,0.012900802977068826,1,0,2
84,Male,1,1,1,short-term,email,3,119.65600491807996,20.34420127688698,54.70826506362703,38.706,1,0.010426068755546318,1,0,2
85,Male,1,1,1,short-term,automatic transfer,4,116.9405731955311,19.882250156019538,50.14925117174322,36.39,1,0.009175486819400351,1,0,1
86,Female,1,1,1,short-term,email,3,118.06254755858237,20.07343551732369,79.418501237364,48.537,1,0.009608510657877833,0,0,2
87,Female,1,1,1,short-term,email,2,118.861150036371,20.209100142839432,47.83458290293803,35.578,1,0.010623745424938739,0,0,2
88,Female,1,1,1,short-term,email,1,123.85309644478988,21.05791006681687,59.56702680192899,40.954,1,0.009437057176165371,0,0,2
89,Female,1,1,1,short-term,automatic transfer,1,117.90446585288808,20.04640424876933,56.77839556529682,38.126,1,0.009611424192002824,0,0,1
90,Male,1,1,1,short-term,email,4,115.93536474384918,19.711674564345763,51.306449455484895,35.985,1,0.010295970798228584,1,0,2
91,Female,1,1,1,short-term,mail,0,114.28816204862248,19.43116509153353,62.22500804205367,40.577,1,0.009305143950365415,0,0,0
92,Female,1,1,1,short-term,email,1,126.50054232454166,21.50808962306457,52.95753920310129,37.03,1,0.011187585727418863,0,0,2
93,Female,1,1,1,short-term,email,1,121.56021981474537,20.6673595606023,58.60028764638831,43.623,1,0.011556198971193301,0,0,2
94,Male,1,1,1,short-term,email,1,115.47812907934906,19.63366588605311,60.27226438177391,39.403,1,0.01470039707918751,1,0,2
95,Female,1,1,1,short-term,email,3,114.327152344193,19.438236335747032,50.83830343845143,37.665,1,0.009184150189384472,0,0,2
96,Female,1,1,1,short-term,email,5,115.18270371727516,19.58333770274988,49.3476203510053,34.898,1,0.012305702255510987,0,0,2
97,Male,1,1,1,short-term,email,4,122.91256001376568,20.897588700491585,62.20427086474524,41.86,1,0.01099717412408256,1,0,2
98,Female,1,1,1,short-term,mail,3,118.58809159808204,20.1622985271444,54.01726654251302,36.588,1,0.00800544207197834,0,0,0
99,Female,1,1,1,short-term,email,2,116.0734473998794,19.735799068269973,56.76065439824071,37.143,1,0.009394143607959787,0,0,2
100,Male,1,1,1,short-term,email,4,117.03045717536354,19.897924762250653,59.24242364467288,39.352,1,0.009521706018283371,1,0,2
101,Female,1,1,1,short-term,email,3,125.42688524861778,21.325097089230532,57.85656320533716,40.418,1,0.011600297914921473,0,0,2
102,Male,1,1,1,short-term,email,4,120.3104936287095,20.45544055814979,57.5490045837287,41.247,1,0.00812083590855851,1,0,2
103,Male,1,1,1,short-term,email,1,118.7241994648609,20.185504534141803,54.57607960681516,38.415,1,0.01109838581591811,1,0,2
104,Female,1,1,1,short-term,email,2,113.44060211268942,19.28700475090606,65.13402321506383,39.79,1,0.01033909826473893,0,0,2
105,Female,1,1,1,short-term,email,1,116.9061426098038,19.876466638617256,60.68757798166428,40.552,1,0.008724536744901116,0,0,2
106,Male,1,1,1,short-term,email,2,118.2721746241358,20.108368216919114,73.50775706797663,46.372,1,0.011783762587004705,1,0,2
107,Male,1,1,1,short-term,mail,4,113.5544506058428,19.30669069058232,62.40757938878491,40.543,1,0.011399174374210522,1,0,0
108,Male,1,1,1,short-term,email,2,121.85633239412674,20.71787178843218,56.65829778004677,39.417,1,0.013206379727881147,1,0,2
109,Female,1,1,1,short-term,automatic transfer,4,113.58657312914372,19.312585981401117,50.27797414733117,35.957,1,0.013282490985365556,0,0,1
110,Male,1,1,1,short-term,mail,1,108.59427184878304,18.46349871781105,61.441260186085074,38.015,1,0.010248188559538364,1,0,0
111,Male,1,1,1,short-term,email,2,121.08423864393409,20.586614038183832,65.91049098171226,42.624,1,0.009492165837748583,1,0,2
112,Male,1,1,1,short-term,email,0,120.13722060882816,20.425324730518412,76.38433834720065,49.386,1,0.0103539381021552,1,0,2
113,Female,1,1,1,short-term,email,2,124.23245512354208,21.122276820203638,57.0857118884956,39.909,1,0.010879322321060847,0,0,2
114,Male,1,1,1,short-term,email,0,111.92204776949838,19.02970806588506,73.85210932035473,44.192,1,0.01177623605337317,1,0,2
115,Female,1,1,1,short-term,email,4,115.51551827461428,19.640405783999697,47.7796317636086,34.618,1,0.012896447594431416,0,0,2
116,Male,1,1,1,short-term,email,4,109.61872660594965,18.63748133979256,51.68265607574373,35.221,1,0.008543914794534958,1,0,2
117,Male,1,1,1,short-term,email,1,121.072862853598,20.58547404295149,66.95026810652989,40.396,1,0.012163905871127674,1,0,2
118,Male,1,1,1,short-term,email,4,118.24797366959815,20.104859899902387,59.76803644147043,41.28,1,0.012416758598503198,1,0,2
119,Female,1,1,1,short-term,email,3,118.4754852349592,20.143766316425317,66.23470403449218,41.349,1,0.010161493060872048,0,0,2
120,Male,1,1,1,short-term,email,2,124.01517620685426,21.08505098373307,54.73080457004619,38.697,1,0.009722645638300838,1,0,2
121,Female,1,1,1,short-term,email,1,107.301017944286,18.243385430522405,59.10379421341192,36.683,1,0.009002373583939908,0,0,2
122,Female,1,1,1,short-term,email,1,116.7333444992627,19.847059818601693,65.25264413046406,45.29,1,0.009796041858819023,0,0,2
123,Male,1,1,1,short-term,email,3,121.04393485478622,20.5801055842438,68.13196125044604,42.443,1,0.011106732306423832,1,0,2
124,Male,1,1,1,short-term,email,2,117.28575922220416,19.940809284246047,65.37342896027593,39.844,1,0.011015720859942402,1,0,2
125,Male,1,1,1,short-term,mail,2,122.86508018412836,20.88994778392172,49.622029513999614,36.687,1,0.008332044558074205,1,0,0
126,Male,1,1,0,short-term,automatic transfer,1,127.83734998343512,21.73512900897641,0.0,9.472,0,0.008724,1,0,1
127,Male,1,1,0,short-term,automatic transfer,2,118.02598923391352,20.068361125599527,0.0,9.959,0,0.008724,1,0,1
128,Female,1,1,0,short-term,mail,1,128.80653209793476,21.90023309512944,0.0,10.681,0,0.008724,0,0,0
129,Male,1,1,0,short-term,email,1,108.8787524312692,18.51171271890212,0.0,10.164,0,0.008724,1,0,2
130,Male,1,1,0,short-term,mail,3,117.98645223058648,20.0602176028582,0.0,10.715,0,0.008724,1,0,0
131,Female,1,1,0,short-term,automatic transfer,1,123.60098745170578,21.01457262674334,0.0,9.525,0,0.008724,0,0,1
132,Male,1,1,0,short-term,mail,1,104.30718352751268,17.734791319540776,0.0,11.007,0,0.008724,1,0,0
133,Male,1,1,0,short-term,mail,1,128.4750954866251,21.84387700736425,0.0,9.562,0,0.008724,1,0,0
134,Female,1,1,0,short-term,automatic transfer,0,129.43725717938133,22.00759493047317,0.0,9.543,0,0.008724,0,0,1
135,Female,1,1,0,short-term,mail,1,126.89552902962272,21.57489847782226,0.0,10.003,0,0.008724,0,0,0
136,Female,1,1,0,short-term,mail,1,104.47405097739583,17.76277469026253,0.0,9.743,0,0.008724,0,0,0
137,Male,1,1,0,short-term,automatic transfer,0,112.500209165477,19.128097201988616,0.0,9.664,0,0.008724,1,0,1
138,Male,1,1,0,short-term,mail,1,127.8842973253764,21.743581686218988,0.0,9.804,0,0.008724,1,0,0
139,Male,1,1,0,short-term,mail,1,128.28293321094654,21.810220700001,0.0,9.971,0,0.008724,1,0,0
140,Male,1,1,0,short-term,automatic transfer,1,125.93827431995204,21.41247058962631,0.0,9.889,0,0.008724,1,0,1
141,Male,1,1,0,short-term,automatic transfer,1,115.61316805623812,19.65731442859857,0.0,9.528,0,0.008724,1,0,1
142,Male,1,1,0,short-term,automatic transfer,1,114.03611111225402,19.389080424085535,0.0,10.278,0,0.008724,1,0,1
143,Female,1,1,0,short-term,mail,2,126.63057400735174,21.529791274994736,0.0,9.93,0,0.008724,0,0,0
144,Male,1,1,0,short-term,automatic transfer,3,118.823235227758,20.201701413423315,0.0,9.768,0,0.008724,1,0,1
145,Male,1,1,0,short-term,email,2,104.67762569082592,17.798116420123876,0.0,9.489,0,0.008724,1,0,2
146,Female,1,1,0,short-term,mail,0,113.87904557413192,19.362428799186358,0.0,11.011,0,0.008724,0,0,0
147,Male,1,1,0,short-term,automatic transfer,1,114.08724491641254,19.39759656095797,0.0,10.666,0,0.008724,1,0,1
148,Female,1,1,0,short-term,automatic transfer,2,123.24398258910396,20.954817943649893,0.0,9.698,0,0.008724,0,0,1
149,Female,1,1,0,short-term,mail,0,120.65960546513328,20.515279613191723,0.0,9.795,0,0.008724,0,0,0
150,Male,1,1,0,short-term,automatic transfer,1,111.68972584005532,18.988969179085903,0.0,9.785,0,0.008724,1,0,1
151,Female,1,1,0,short-term,mail,1,118.3707917235201,20.12605939567216,0.0,9.636,0,0.008724,0,0,0
152,Female,1,1,0,short-term,email,0,123.87365299419828,21.06183563836406,0.0,10.806,0,0.008724,0,0,2
153,Male,1,1,0,short-term,mail,2,122.9708128593422,20.908578814610443,0.0,9.687,0,0.008724,1,0,0
154,Male,1,1,0,short-term,mail,1,127.05933747011449,21.60311283084481,0.0,10.034,0,0.008724,1,0,0
155,Male,1,1,0,short-term,mail,3,115.81509969236704,19.69128730422962,0.0,9.937,1,0.008724,1,0,0
156,Male,1,1,0,short-term,mail,2,111.3721397159563,18.93543021718015,0.0,9.425,1,0.008724,1,0,0
157,Male,1,1,0,short-term,email,5,122.24463686236814,20.784422354398032,0.0,10.046,1,0.008724,1,0,2
158,Female,1,1,0,short-term,mail,5,126.36645308816944,21.48519146095843,0.0,9.817,1,0.008724,0,0,0
159,Male,1,1,0,short-term,email,1,121.41211681056282,20.64339187065312,0.0,9.686,1,0.008724,1,0,2
160,Female,1,1,0,short-term,mail,0,113.02355787369623,19.216436273293745,0.0,9.81,1,0.008724,0,0,0
161,Male,1,1,0,short-term,mail,3,113.6630095848765,19.32554027370488,0.0,10.177,1,0.008724,1,0,0
162,Male,1,1,0,short-term,mail,5,117.23419659247324,19.932584263701383,0.0,9.774,1,0.008724,1,0,0
163,Female,1,1,0,short-term,automatic transfer,2,121.81113463974604,20.710557174195827,0.0,9.561,1,0.008724,0,0,1
164,Female,1,1,0,short-term,email,2,122.47810861172664,20.824452036662176,0.0,10.139,1,0.008724,0,0,2
165,Female,1,1,0,short-term,email,2,119.6326222333205,20.34012760554516,0.0,10.259,1,0.008724,0,0,2
166,Female,1,1,0,short-term,automatic transfer,2,125.59872072708104,21.354532517976278,0.0,9.95,1,0.008724,0,0,1
167,Male,1,1,0,short-term,mail,2,121.41766885851315,20.644028626828643,0.0,10.672,1,0.008724,1,0,0
168,Female,1,1,0,short-term,mail,0,119.1462009184184,20.257648064236463,0.0,10.758,1,0.008724,0,0,0
169,Female,1,1,0,short-term,email,3,119.89359537591396,20.384524076776117,0.0,10.284,1,0.008724,0,0,2
170,Male,1,1,0,short-term,mail,4,119.64985465075814,20.343539990383498,0.0,10.151,1,0.008724,1,0,0
171,Female,1,1,0,short-term,mail,5,115.26660958597074,19.59776966582354,0.0,10.763,1,0.008724,0,0,0
172,Female,1,1,0,long-term,email,0,121.78095224630398,20.71491783913516,0.0,9.648,0,0.008724,0,1,2
173,Male,1,1,0,long-term,email,0,117.30998254251548,19.966163903989216,0.0,9.516,0,0.008724,1,1,2
174,Female,34,1,1,short-term,automatic transfer,2,137.32000000669814,23.322361880662363,28.522497071625565,48.59025049220789,0,0.0066786074846652155,0,0,1
175,Male,34,1,1,short-term,mail,3,115.48360703796456,19.63377719873826,64.77026751607904,81.43486361552678,0,0.00815581389718689,1,0,0
176,Female,34,1,1,short-term,automatic transfer,0,123.43681970358,20.985989464137987,49.10801955989606,77.02501915950099,0,0.009565789515089093,0,0,1
177,Male,34,1,1,short-term,automatic transfer,1,125.86525197201956,21.40098090880486,48.15759632304733,66.77588560419673,0,0.009769260652279836,1,0,1
178,Female,34,1,1,short-term,email,10,123.379431680155,20.974881377071146,72.13324083628653,90.62034300846167,1,0.010264772051621351,0,0,2
179,Female,34,1,1,short-term,automatic transfer,8,123.379431680155,20.974881377071146,49.667428445904925,69.42420009215303,1,0.011121090088045796,0,0,1
180,Male,34,1,0,short-term,mail,0,125.55260709834012,21.330604490426943,0.0,18.801610429008207,0,0.008724,1,0,0
181,Female,34,1,0,short-term,mail,0,134.20918768810606,22.816398483480505,0.0,18.25444157898293,0,0.008724,0,0,0
182,Female,34,1,1,long-term,email,5,112.40929036853406,19.1129795836454,45.47168184179285,64.57739758424012,0,0.005866930351308005,0,1,2
183,Female,34,1,1,long-term,email,1,139.0352094686908,23.581390201567125,90.01671891381245,108.56106932545802,0,0.007179520070906329,0,1,2
184,Female,34,1,0,long-term,automatic transfer,0,90.69748245335884,15.419062303729737,0.0,19.99304901684487,0,0.008724,0,1,1
185,Male,34,1,0,long-term,automatic transfer,2,141.4282160455191,24.003099906886654,0.0,26.235496497156756,0,0.008724,1,1,1
186,Male,2,1,1,short-term,email,2,120.0121761113954,20.407378875459017,20.339214666397822,25.69035725250932,0,0.007724543150825024,1,0,2
187,Male,2,1,1,short-term,email,4,114.13416169218164,19.407497886606407,37.37702021536711,32.14837371881077,0,0.0118610895754297,1,0,2
188,Male,2,1,1,short-term,email,3,126.29796957216182,21.475233257180346,44.456379569617,43.094979438104,0,0.007602310761175349,1,0,2
189,Male,2,1,1,short-term,mail,0,117.57627594189174,19.992577839195565,28.37699124588736,33.609528311019645,0,0.0067139645904941035,1,0,0
190,Female,2,1,1,short-term,email,1,115.25099494239323,19.596665668054086,20.22836500249558,25.205959707635884,0,0.00876785887905211,0,0,2
191,Male,2,1,1,short-term,automatic transfer,1,123.53419185436545,21.00586390955037,35.201788771705225,33.380658316245906,0,0.009266935050189724,1,0,1
192,Female,2,1,1,short-term,mail,0,114.394778682042,19.45212275960278,39.28491562960986,32.90015230025159,0,0.007641709706527245,0,0,0
193,Female,2,1,1,short-term,email,3,113.52346566300112,19.304230705044763,25.55755711064177,16.718502482526965,0,0.014586437375664422,0,0,2
194,Female,2,1,1,short-term,email,5,116.7143672503922,19.84706626446683,24.141041699120425,28.34449677508116,0,0.00660897068834792,0,0,2
195,Female,2,1,1,short-term,mail,0,118.4910232586615,20.14867350300755,42.82208724571293,48.15842918250709,0,0.006511358611136578,0,0,0
196,Female,2,1,1,short-term,mail,5,113.1155863565744,19.23392101442913,21.08038020439353,24.16992065661069,0,0.00875691836192583,0,0,0
197,Male,2,0,1,short-term,automatic transfer,1,0.0,0.0,10.099924378802626,20.35433196778793,0,0.0040182504274628396,1,0,1
198,Male,2,1,1,short-term,mail,4,119.89041154369755,20.385936139516247,11.04122328537782,23.28020782624705,1,0.002751085723376877,1,0,0
199,Female,2,0,1,short-term,mail,2,0.0,0.0,46.48970754172485,35.73145462887111,1,0.010533434548637324,0,0,0
200,Female,2,0,1,short-term,mail,2,0.0,0.0,16.89977235026137,24.43047719370191,1,0.009174523268943184,0,0,0
201,Female,2,0,1,short-term,mail,1,0.0,0.0,15.091131525761584,22.575095055521047,1,0.004205625598927688,0,0,0
202,Male,2,0,1,short-term,automatic transfer,4,0.0,0.0,48.569178499407485,42.10575373482467,1,0.013767642854411474,1,0,1
203,Male,2,1,1,short-term,mail,1,121.53230482662067,20.66485608147662,8.192178642732348,14.51841693715501,1,0.0037421957498036933,1,0,0
204,Female,2,1,1,short-term,email,3,116.817888352626,19.86353315104729,25.252033144696963,34.067562840021395,1,0.007980368088725685,0,0,2
205,Female,2,0,1,short-term,email,3,0.0,0.0,16.208737891835433,24.80110114975866,1,0.017228102978048197,0,0,2
206,Male,2,0,1,short-term,email,3,0.0,0.0,24.219318848907445,24.916320385434958,1,0.04821732725185601,1,0,2
207,Male,2,1,1,short-term,mail,6,116.2227341403569,19.762326387809765,26.53688299566729,33.94849178707235,1,0.012184662352423587,1,0,0
208,Male,2,1,1,short-term,email,3,118.8892418689375,20.215721904020747,40.44078356187372,38.18577328650519,1,0.008792422263944163,1,0,2
209,Female,2,1,1,short-term,email,2,111.34365581853363,18.93278594528133,54.11273092412792,61.65382758232768,0,0.007755231161616364,0,0,2
210,Male,2,1,1,short-term,email,3,127.01081617690114,21.5974521392206,52.61416765712803,45.841629910784896,0,0.008830877078016943,1,0,2
211,Male,2,1,1,short-term,email,4,117.71209834694638,20.016820563436404,50.29732445095997,43.352590680585095,0,0.006769084434492689,1,0,2
212,Male,2,1,1,short-term,automatic transfer,2,115.5601191961662,19.65043943563684,57.66849234863818,49.42940212331069,0,0.006030349354169969,1,0,1
213,Male,2,1,1,short-term,email,1,116.99190839466708,19.89300137810776,51.08808584655476,40.16194066857101,0,0.008506963986897391,1,0,2
214,Female,2,1,1,short-term,email,2,112.8121033693368,19.18267629505344,68.50425121440728,56.844313978014064,0,0.006412912884130757,0,0,2
215,Female,2,1,1,short-term,mail,4,129.57321013719312,22.03214603297331,53.98662648877042,53.1586462197578,0,0.008810836326818009,0,0,0
216,Female,2,1,1,short-term,email,4,116.10818310601738,19.74301983637056,56.34955073172366,53.28070499160357,1,0.010760789522299362,0,0,2
217,Male,2,1,1,short-term,automatic transfer,0,116.85938455301375,19.87080223576693,67.24080065217984,57.83516426559036,1,0.013324766197366382,1,0,1
